RowNumber,CustomerId,Surname,Gender,Age,Balance,EstimatedSalary
1,15634602,Hargrave,Female,42,0,101348.88
2,15647311,Hill,Female,41,83807.86,112542.58
3,15619304,Onio,Female,42,159660.8,113931.57
4,15701354,Boni,Female,39,0,93826.63
5,15737888,Mitchell,Female,43,125510.82,79084.1
6,15574012,Chu,Male,44,113755.78,149756.71
7,15592531,Bartlett,Male,50,0,10062.8
8,15656148,Obinna,Female,29,115046.74,119346.88
9,15792365,He,Male,44,142051.07,74940.5
10,15592389,H?,Male,27,134603.88,71725.73
11,15767821,Bearce,Male,31,102016.72,80181.12
12,15737173,Andrews,Male,24,0,76390.01
13,15632264,Kay,Female,34,0,26260.98
14,15691483,Chin,Female,25,0,190857.79
15,15600882,Scott,Female,35,0,65951.65
16,15643966,Goforth,Male,45,143129.41,64327.26
17,15737452,Romeo,Male,58,132602.88,5097.67
18,15788218,Henderson,Female,24,0,14406.41
19,15661507,Muldrow,Male,45,0,158684.81
20,15568982,Hao,Female,24,0,54724.03
21,15577657,McDonald,Male,41,0,170886.17
22,15597945,Dellucci,Female,32,0,138555.46
23,15699309,Gerasimov,Female,38,0,118913.53
24,15725737,Mosman,Male,46,0,8487.75
25,15625047,Yen,Female,38,0,187616.16
26,15738191,Maclean,Male,25,0,124508.29
27,15736816,Young,Male,36,136815.64,170041.95
28,15700772,Nebechi,Male,44,0,38433.35
29,15728693,McWilliams,Female,43,141349.43,100187.43
30,15656300,Lucciano,Male,29,59697.17,53483.21
31,15589475,Azikiwe,Female,39,0,140469.38
32,15706552,Odinakachukwu,Male,36,85311.7,156731.91
33,15750181,Sanderson,Male,41,110112.54,81898.81
34,15659428,Maggard,Female,42,0,34410.55
35,15732963,Clements,Female,29,0,142033.07
36,15794171,Lombardo,Female,45,134264.04,27822.99
37,15788448,Watson,Male,31,145260.23,114066.77
38,15729599,Lorenzo,Male,33,76548.6,98453.45
39,15717426,Armstrong,Male,36,0,40812.9
40,15585768,Cameron,Male,41,70349.48,178074.04
41,15619360,Hsiao,Male,40,0,70154.22
42,15738148,Clarke,Female,51,122522.32,181297.65
43,15687946,Osborne,Female,61,117419.35,94153.83
44,15755196,Lavine,Female,49,131394.56,194365.76
45,15684171,Bianchi,Female,61,155931.11,158338.39
46,15754849,Tyler,Female,32,109421.13,126517.46
47,15602280,Martin,Female,27,112045.67,119708.21
48,15771573,Okagbue,Female,39,137843.8,117622.8
49,15766205,Yin,Male,38,103391.38,90878.13
50,15771873,Buccho,Female,37,103769.22,194099.12
51,15616550,Chidiebele,Male,44,116363.37,198059.16
52,15768193,Trevisani,Male,36,146050.97,86424.57
53,15683553,O'Brien,Female,33,0,116978.19
