RowNumber,CustomerId,Surname,Gender,Age,Balance,EstimatedSalary,ProductName,ProductType,DownLimit
8689,15778418,Burns,Male,40,154309.67,125334.16,Ping An Currency Fund A,Currency Fund,12000
8689,15778418,Burns,Male,40,154309.67,125334.16,Hua Xia Accidental Insurance A,Accidental Insurance,36000
8689,15778418,Burns,Male,40,154309.67,125334.16,Guang Da Stock Fund C,Stock Fund,70000
8689,15778418,Burns,Male,40,154309.67,125334.16,Xing Ye Debenture A,Debenture,80000
5152,15683618,Dyer,Female,35,121418.62,24400.37,Ping An Currency Fund A,Currency Fund,12000
4202,15621227,Hs?eh,Female,46,161806.09,173052.19,Zhao Shang Currency Fund C,Currency Fund,20000
4202,15621227,Hs?eh,Female,46,161806.09,173052.19,Zhong Xin Medical Insurance B,Medical Insurance,39000
4202,15621227,Hs?eh,Female,46,161806.09,173052.19,Nong Ye Stock Fund B,Stock Fund,64000
4202,15621227,Hs?eh,Female,46,161806.09,173052.19,Xing Ye Debenture A,Debenture,80000
5188,15682421,Talbot,Female,30,0,100496.84,Ping An Currency Fund A,Currency Fund,12000
5362,15719265,Feng,Male,46,0,170676.67,Ping An Currency Fund A,Currency Fund,12000
5362,15719265,Feng,Male,46,0,170676.67,Zhong Xin Medical Insurance B,Medical Insurance,39000
5362,15719265,Feng,Male,46,0,170676.67,Gong Shang Stock Fund A,Stock Fund,59000
5362,15719265,Feng,Male,46,0,170676.67,Xing Ye Debenture A,Debenture,80000
4235,15567335,Allsop,Female,42,0,190040.29,Zhao Shang Currency Fund C,Currency Fund,20000
4235,15567335,Allsop,Female,42,0,190040.29,Jian She Accidental Insurance B,Accidental Insurance,39000
4235,15567335,Allsop,Female,42,0,190040.29,Nong Ye Stock Fund B,Stock Fund,64000
4235,15567335,Allsop,Female,42,0,190040.29,Chong Qing Debenture B,Debenture,84000
7924,15773273,Runyon,Male,38,118866.36,163317.5,Guang Da Currency Fund B,Currency Fund,16500
7924,15773273,Runyon,Male,38,118866.36,163317.5,Nong Ye Accidental Insurance C,Accidental Insurance,42000
7924,15773273,Runyon,Male,38,118866.36,163317.5,Gong Shang Stock Fund A,Stock Fund,59000
7924,15773273,Runyon,Male,38,118866.36,163317.5,Chong Qing Debenture B,Debenture,84000
8547,15686957,Piccio,Male,35,158584.28,43640.16,Ping An Currency Fund A,Currency Fund,12000
8547,15686957,Piccio,Male,35,158584.28,43640.16,Gong Shang Medical Insurance A,Medical Insurance,35000
8547,15686957,Piccio,Male,35,158584.28,43640.16,Gong Shang Stock Fund A,Stock Fund,59000
8547,15686957,Piccio,Male,35,158584.28,43640.16,Xing Ye Debenture A,Debenture,80000
456,15733797,Sal,Male,36,0,164253.35,Guang Da Currency Fund B,Currency Fund,16500
